Cement,Fine aggregate,Coarse aggregate,Water,Water-binder ratio,Superplasticizer,Fly ash,Silica fume,Blast furnace slag,Cl content in seawater,Annual temperature,Exposure time,Tidal zone,Splash zone,Submerged zone,Surface chloride concentration
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.4
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.41
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.44
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.46
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.47
400,800,1020,180,0.45,1,0,0,0,19,7,0.095890411,1,0,0,0.56
400,800,1020,180,0.45,1,0,0,0,19,7,0.547945205,1,0,0,0.345
400,800,1020,180,0.45,1,0,0,0,19,7,0.547945205,1,0,0,0.451
400,800,1020,180,0.45,1,0,0,0,19,7,0.547945205,1,0,0,0.472
400,800,1020,180,0.45,1,0,0,0,19,7,0.547945205,1,0,0,0.532
400,800,1020,180,0.45,1,0,0,0,19,7,0.547945205,1,0,0,0.583
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.382
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.415
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.479
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.496
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.523
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.603
400,800,1020,180,0.45,1,0,0,0,19,7,1,1,0,0,0.615
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.442
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.46
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.49
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.502
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.571
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.587
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.643
400,800,1020,180,0.45,1,0,0,0,19,7,2,1,0,0,0.652
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.523
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.544
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.583
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.613
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.643
400,800,1020,180,0.45,1,0,0,0,19,7,5,1,0,0,0.682
400,800,1020,180,0.45,1,0,0,0,19,7,9,1,0,0,0.59
400,800,1020,180,0.45,1,0,0,0,19,7,9,1,0,0,0.603
400,800,1020,180,0.45,1,0,0,0,19,7,9,1,0,0,0.645
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.352
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.371
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.421
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.493
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.511
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.521
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.534
340,800,1020,180,0.45,1,60,0,0,19,7,0.095890411,1,0,0,0.574
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.424
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.504
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.562
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.601
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.62
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.652
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.673
340,800,1020,180,0.45,1,60,0,0,19,7,0.547945205,1,0,0,0.732
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.472
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.541
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.56
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.571
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.631
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.645
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.682
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.712
340,800,1020,180,0.45,1,60,0,0,19,7,1,1,0,0,0.781
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.592
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.613
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.7
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.712
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.76
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.774
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.792
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.834
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.852
340,800,1020,180,0.45,1,60,0,0,19,7,2,1,0,0,0.871
340,800,1020,180,0.45,1,60,0,0,19,7,5,1,0,0,0.762
